Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
9ABOTA,497,B/9A-0001,Krči,Kingdom of Yugoslavia,45.448409,16.318265,JN85DK
9ABOTA,497,B/9A-0002,Kupalište,Kingdom of Yugoslavia,45.444604,16.269341,JN85DK
9ABOTA,497,B/9A-0003,Vila Rebar,WW2,45.863344,15.97925,JN75XU
9ABOTA,497,B/9A-0004,Bringln,Kingdom of Yugoslavia,45.449467,16.310678,JN85DK
9ABOTA,497,B/9A-0005,Zadar,Italian WW2,44.105102,15.28501,JN74PC
9ABOTA,497,B/9A-0006,Zadar,Italian WW2,44.093014,15.293451,JN74PC
9ABOTA,497,B/9A-0007,Zadar,Italian WW2,44.096025,15.278558,JN74PC
9ABOTA,497,B/9A-0008,Zadar,Italian WW2,44.093235,15.2782,JN74PC
9ABOTA,497,B/9A-0009,Zadar,Italian WW2,44.094175,15.279069,JN74PC
9ABOTA,497,B/9A-0010,Zadar,Italian WW2,44.093371,15.26932,JN74PC
9ABOTA,497,B/9A-0011,Puntamika,Italian WW2,44.1311655,15.2046055,JN74OD
9ABOTA,497,B/9A-0012,Vis,Yugoslav People Army,43.0565577,16.0525596,JN83AB
9ABOTA,497,B/9A-0013,Šibenik,WW2,43.74216061,15.90979505,JN73WR
9ABOTA,497,B/9A-0014,Šibenik,WW2,43.74422534,15.90785571,JN73WR
9ABOTA,497,B/9A-0015,Split,WW2,43.50980672,16.41197223,JN83EM
9ABOTA,497,B/9A-0016,Split,WW2,43.50980672,16.41531962,JN83EM
9ABOTA,497,B/9A-0017,Split,Yugoslav People Army,43.5052001,16.40845317,JN83EM
9ABOTA,497,B/9A-0018,Split,WW2,43.55957308,16.51158318,JN83GN
9ABOTA,497,B/9A-0019,Žaborić,Yugoslav People Army,43.670905,15.9334907,JN73XQ
9ABOTA,497,B/9A-0020,Školjić,WW2,43.7197751,15.856764,JN73WR
9ABOTA,497,B/9A-0021,Lozica,WW2,42.67829676,18.0761913,JN92AQ
9ABOTA,497,B/9A-0022,Zaton,WW2,42.68635605,18.04515731,JN92AQ
9ABOTA,497,B/9A-0023,Školjić,WW2,44.89758556,14.01523668,JN74AV
9ABOTA,497,B/9A-0024,Figo Uvala,WW2,44.87002089,13.79697494,JN64VU
9ABOTA,497,B/9A-0025,Muzil,Yugoslav People Army,44.86299737,13.80173611,JN64VU
9ABOTA,497,B/9A-0026,Pula,WW2,44.83335177,13.85062413,JN64WU
9ABOTA,497,B/9A-0027,Zaprešić,WW2,45.83477017,15.82237501,JN75VU
